Задание: Расчёт значения ряда в точке. ui(x) = (-1)^i*2^(2i)*(i!)^2*x^(2i+1)/(2i+1)!
Автор: Николаев Всеволод Юрьевич    Группа: 2302       Версия: 1
Дата начала: 12.10.2022             Дата окончания:
eps = 0.00000000000000100000
x = 0.99899999999999999911
===========================================================
|  i  |            u            |            s            |
| 261 | +0.03258757532736552415 | +0.63929841931455611004 |
| 262 | -0.03246024838041559890 | +0.60683817093414049726 |
| 263 | +0.03233365489562904649 | +0.63917182582976950211 |
| 264 | -0.03220778838264355681 | +0.60696403744712590367 |
| 265 | +0.03208264243330054971 | +0.63904667988042640481 |
| 266 | -0.03195821072028339621 | +0.60708846916014302941 |
| 267 | +0.03183448699578328434 | +0.63892295615592631375 |
| 268 | -0.03171146509019221599 | +0.60721149106573413246 |
| 269 | +0.03158913891082240633 | +0.63880062997655651102 |
| 270 | -0.03146750244065147500 | +0.60733312753590507072 |
| 271 | +0.03134654973709280479 | +0.63867967727299790326 |
| 272 | -0.03122627493079051589 | +0.60745340234220734921 |
| 273 | +0.03110667222443835520 | +0.63856007456664565236 |
| 274 | -0.03098773589162210490 | +0.60757233867502358216 |
| 275 | +0.03086946027568481660 | +0.63844179895070840569 |
| 276 | -0.03075183978861442680 | +0.60768995916209400665 |
| 277 | +0.03063486890995316056 | +0.63832482807204715680 |
| 278 | -0.03051854218572828958 | +0.60780628588631890885 |
| 279 | +0.03040285422740368962 | +0.63820914011372265051 |
| 280 | -0.03028779971085176007 | +0.60792134040287093555 |
| 281 | +0.03017337337534522698 | +0.63809471377821613824 |
| 282 | -0.03005957002256832641 | +0.60803514375564782224 |
| 283 | +0.02994638451564702805 | +0.63798152827129483988 |
| 284 | -0.02983381177819777880 | +0.60814771649309706802 |
| 285 | +0.02972184679339436725 | +0.63786956328649146997 |
| 286 | -0.02961048460305252747 | +0.60825907868343898066 |
| 287 | +0.02949972030673184489 | +0.63775879899017084984 |
| 288 | -0.02938954906085462088 | +0.60836924992931618039 |
| 289 | +0.02927996607784127611 | +0.63764921600715740446 |
| 290 | -0.02917096662526194942 | +0.60847824938189543076 |
| 291 | +0.02906254602500390680 | +0.63754079540689934102 |
| 292 | -0.02895469965245447280 | +0.60858609575444488904 |
| 293 | +0.02884742293569904706 | +0.63743351869014397426 |
| 294 | -0.02874071135473397348 | +0.60869280733540997996 |
| 295 | +0.02863456044069386669 | +0.63732736777610388135 |
| 296 | -0.02852896577509310069 | +0.60879840200101076331 |
| 297 | +0.02842392298908118925 | +0.63722232499009190398 |
| 298 | -0.02831942776271168319 | +0.60890289722738022427 |
| 299 | +0.02821547582422438347 | +0.63711837305160456957 |
| 300 | -0.02811206294934049180 | +0.60900631010226402573 |
| 301 | +0.02800918496057047680 | +0.63701549506283450253 |
| 302 | -0.02790683772653440586 | +0.60910865733630004115 |
| 303 | +0.02780501716129440276 | +0.63691367449759439534 |
| 304 | -0.02770371922369904358 | +0.60920995527389532054 |
